"display_id","internal_group_HIDDEN","human_rating","natural_rating","comment","exp_level","avg_time"
"Bài giải #1","H","4","4","cái finger trick quen thuộc","advanced","20_30"
"Bài giải #2","H","4","4","","advanced","20_30"
"Bài giải #3","A+","5","2","","advanced","20_30"
"Bài giải #4","A","3","3","","advanced","20_30"
"Bài giải #5","A+","5","4","","advanced","20_30"
"Bài giải #6","H","5","2","","advanced","20_30"
"Bài giải #7","A","3","2","combo lạ, ít gặp khi tự solve","advanced","20_30"
"Bài giải #8","A","4","4","","advanced","20_30"
"Bài giải #9","A+","3","3","","advanced","20_30"
"Bài giải #10","B","1","1","","advanced","20_30"
"Bài giải #11","A","4","4","y hệt kiểu mình hay đi","advanced","20_30"
"Bài giải #12","B","2","2","","advanced","20_30"
"Bài giải #13","A","4","3","","advanced","20_30"
"Bài giải #14","A+","4","1","","advanced","20_30"
"Bài giải #15","B","3","3","combo lạ, ít gặp khi tự solve","advanced","20_30"
"Bài giải #16","B","2","2","override lại tay quen thôi chứ ko chắc","advanced","20_30"
"Bài giải #17","A+","4","1","","advanced","20_30"
"Bài giải #18","H","5","3","cái này chắc máy giải","advanced","20_30"
"Bài giải #19","B","1","1","","advanced","20_30"
"Bài giải #20","H","4","3","khó nói, để mặc định vậy","advanced","20_30"
"Bài giải #21","A","4","4","","advanced","20_30"
"Bài giải #22","A+","4","4","","advanced","20_30"
"Bài giải #23","B","1","","","advanced","20_30"
"Bài giải #24","H","4","2","nhìn có vẻ tự nhiên","advanced","20_30"
